itr : 4 , step: 12000, loss : 0.505724191666,auc : 0.743586957455
itr : 4 , step: 13000, loss : 0.51833820343,auc : 0.744574844837
itr : 4 , step: 14000, loss : 0.404893398285,auc : 0.745521306992
itr : 4 , step: 15000, loss : 0.563850045204,auc : 0.746443808079
itr : 4 , step: 16000, loss : 0.590935707092,auc : 0.747307121754
itr : 4 , step: 17000, loss : 0.427816033363,auc : 0.748184382915
itr : 4 , step: 18000, loss : 0.598840475082,auc : 0.749045014381
itr : 4 , step: 19000, loss : 0.4956381917,auc : 0.749894380569
itr : 4 , step: 20000, loss : 0.520661890507,auc : 0.750757277012
Eval train : loss = 104.4435381 auc = 0.822753914227
Eval test : loss = 16.6496081948 auc = 0.799210163611
