itr : 4 , step: 12000, loss : 0.496100068092,auc : 0.722010493279
itr : 4 , step: 13000, loss : 0.554475367069,auc : 0.723047077656
itr : 4 , step: 14000, loss : 0.50029873848,auc : 0.724063873291
itr : 4 , step: 15000, loss : 0.610438942909,auc : 0.725044727325
itr : 4 , step: 16000, loss : 0.612520515919,auc : 0.725989639759
itr : 4 , step: 17000, loss : 0.473875761032,auc : 0.726917922497
itr : 4 , step: 18000, loss : 0.575411438942,auc : 0.727820158005
itr : 4 , step: 19000, loss : 0.495839238167,auc : 0.728715121746
itr : 4 , step: 20000, loss : 0.542061090469,auc : 0.729622364044
Eval train : loss = 107.810091972 auc = 0.811022624813
Eval test : loss = 17.609746635 auc = 0.767578093459
